암호화요양코드,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,1,상급종합,310000,경기,310603,수원팔달구,지동,16247,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,http://www.cmcvincent.or.kr/skip.html,19670523,127.0274271,37.2779855
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,1,상급종합,220000,인천,220003,인천부평구,부평동,21431,"인천광역시 부평구 동수로 56, (부평동)",032-1544-9004,http://www.cmcism.or.kr/,19810806,126.7248987,37.4848309
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,1,상급종합,320000,강원,320100,강릉시,사천면,25440,"강원특별자치도 강릉시 사천면 방동길 38, (사천면)",033-610-3114,http://www.gnah.co.kr,19960730,128.8578411,37.8184325
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,1,상급종합,110000,서울,110016,종로구,평동,3181,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,http://www.kbsmc.co.kr,19790324,126.96775,37.5684083
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,1,상급종합,110000,서울,110023,광진구,화양동,5030,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,http://www.kuh.ac.kr,19821116,127.0718276,37.5403764
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,1,상급종합,230000,대구,230006,대구중구,삼덕동2가,41944,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,http://knumc.knu.ac.kr,19100907,128.604703,35.8662525
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,1,상급종합,380000,경남,380500,진주시,칠암동,52727,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,http://www.gnuh.co.kr/,19861013,128.0964924,35.1759944
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,1,상급종합,110000,서울,110007,동대문구,회기동,2447,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,http://www.khuh.or.kr/,19711005,127.051852,37.5941195
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,1,상급종합,230000,대구,230007,대구달서구,신당동,42601,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,http://www.dsmc.or.kr/,19680406,128.4801315,35.8538856
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,1,상급종합,110000,서울,110005,구로구,구로동,8308,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,http://guro.kumc.or.kr/main/index.do,19830831,126.8848701,37.492052
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,1,상급종합,310000,경기,311101,안산단원구,고잔동,15355,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,http://ansan.kumc.or.kr/main/index.do,19860101,126.8249033,37.3185144
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,고신대학교복음병원,1,상급종합,210000,부산,210006,부산서구,암남동,49267,"부산광역시 서구 감천로 262, (암남동)",990-6114,http://www.kosinmed.or.kr/,19740226,129.0139595,35.0809636
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,단국대학교의과대학부속병원,1,상급종합,340000,충남,340202,천안동남구,안서동,31116,"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,http://www.dkuh.co.kr/main/default.asp,19940425,127.172575,36.8415904
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,대구가톨릭대학교병원,1,상급종합,230000,대구,230001,대구남구,대명동,42472,"대구광역시 남구 두류공원로17길 33, (대명동)",053-650-3000,http://www.dcmc.co.kr/,19800812,128.5679969,35.8436078
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,동아대학교병원,1,상급종합,210000,부산,210006,부산서구,동대신동3가,49201,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,http://www.damc.or.kr,19900303,129.0175391,35.1201682
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,부산대학교병원,1,상급종합,210000,부산,210006,부산서구,아미동1가,49241,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,,19810827,129.0188032,35.1008477
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,1,상급종합,310000,경기,310403,성남분당구,구미동,13620,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,http://www.snubh.org/index.do,20030415,127.1232509,37.3519807
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,1,상급종합,110000,서울,110001,강남구,일원동,6351,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,http://www.samsunghospital.com,19940613,127.0851508,37.4882977
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,1,상급종합,110000,서울,110016,종로구,연건동,3080,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,http://www.snuh.org,19810709,126.9990168,37.5797151
