암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDgjJDgz,(신)제일병원,21,병원,340000,충남,340400,보령시,궁촌동,33459,"충청남도 보령시 대해로 52, (궁촌동)",041-931-8330,,20050127,126.5935922,36.3436767
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,(의) 내경의료재단 울산제일병원,21,병원,260000,울산,260001,울산남구,신정동,44623,"울산광역시 남구 남산로354번길 26, (신정동)",052-220-3300,http://www.ujh.co.kr,20000101,129.307013,35.548283
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,(의)가산의료재단 광동병원,21,병원,110000,서울,110001,강남구,삼성동,6170,"서울특별시 강남구 봉은사로 612, (삼성동)",2222-4888,  https://www.ekwangdong.co.kr,19940425,127.0621662,37.5142863
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,(의)경빈의료재단 김해센텀병원,21,병원,380000,경남,380100,김해시,내동,50948,"경상남도 김해시 구지로 56, 김해센텀병원 지하2~4층 (내동)",055-330-9100,,20071126,128.8692937,35.2393008
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)서봉의료재단 보강병원,21,병원,230000,대구,230007,대구달서구,진천동,42801,"대구광역시 달서구 월배로 102, (진천동)",053-641-9200,http://www.bogang.co.kr/,19971231,128.5256832,35.8137187
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(의)서일의료재단기장병원,21,병원,210000,부산,210100,부산기장군,기장읍,46072,"부산광역시 기장군 기장읍 대청로72번길 6-6, 6",051-723-0171,http://www.gjhp.kr/,19970503,129.2164242,35.2359681
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,(의)성덕의료재단 간절곶자연병원,21,병원,260000,울산,260100,울산울주군,서생면,45014,"울산광역시 울주군 서생면 용리길 165-11, (서생면)",052-246-0002,,20150506,129.3226471,35.3667274
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNjEjJDEjJDgjJDgz,(의)수지의료재단 용인수지병원,21,병원,310000,경기,312002,용인수지구,풍덕천동,16846,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",031-262-0050,,20161212,127.0848582,37.3168605
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNDEjJDEjJDQjJDgz,(의)유일재단 하나애병원,21,병원,310000,경기,312003,용인처인구,남동,17147,"경기도 용인시 처인구 백옥대로916번길 48, (남동)",031-339-1000,,20080423,127.2135214,37.219342
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)인석의료재단 보람병원,21,병원,260000,울산,260001,울산남구,삼산동,44713,"울산광역시 남구 돋질로336번길 10, (삼산동)",052-278-0114,http://ulsan.imc-boram.co.kr/,19970422,129.3410075,35.5425577
